,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,MOV,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season
25,Utah,82,48.2,93.0,34.5,76.8,0.449,3.0,9.3,0.32799999999999996,21.0,27.7,0.757,12.8,27.4,40.1,22.3,6.6,4.6,15.7,26.7,0.522,0.469,153.4,31.9,72.3,51.6,64.6,15.0,7.5,8.0,1.2,51.9,104.7,109.5,-4.8,7281.2,88.3,-4.3,1.646,1.4,0.4,0.273,26,56,0.317,2005
26,Portland,82,48.1,92.9,35.3,78.3,0.451,5.1,14.2,0.36200000000000004,17.2,23.7,0.725,11.8,29.3,41.1,21.0,7.1,6.6,15.9,20.8,0.524,0.484,153.8,29.6,67.7,49.4,59.5,15.2,7.9,9.8,1.2,56.2,103.3,107.7,-4.4,7379.9,89.8,-4.0,1.595,1.3,0.4,0.21899999999999997,27,55,0.32899999999999996,2005
27,Atlanta,82,48.4,92.7,35.9,81.4,0.441,3.7,11.9,0.312,17.3,24.3,0.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,0.504,0.46399999999999997,146.4,30.7,72.1,50.4,54.9,14.9,8.3,6.7,1.1,50.0,100.6,111.1,-10.5,7562.2,91.4,-9.7,1.5490000000000002,1.2,0.5,0.212,13,69,0.159,2005
28,Brooklyn,82,48.5,91.4,33.6,78.3,0.429,5.3,14.7,0.36200000000000004,19.0,24.9,0.763,10.4,29.1,39.5,21.6,7.9,3.8,14.1,24.2,0.512,0.46299999999999997,155.3,25.5,73.2,49.0,64.4,13.7,8.8,6.4,1.2,51.7,101.5,103.2,-1.7,7386.0,89.1,-1.5,1.6440000000000001,1.5,0.6,0.242,42,40,0.512,2005
29,New Orleans,82,48.6,88.4,33.1,80.0,0.415,5.1,16.0,0.315,17.1,22.3,0.7659999999999999,12.4,27.8,40.2,21.0,6.7,3.8,14.8,23.0,0.493,0.446,149.6,29.1,70.7,49.0,63.4,14.2,7.6,6.3,1.1,48.2,99.7,107.7,-8.0,7271.5,87.6,-7.1,1.6340000000000001,1.4,0.5,0.214,18,64,0.22,2005
0,Phoenix,82,48.7,108.4,41.8,87.4,0.479,10.2,25.6,0.39899999999999997,14.5,18.0,0.8059999999999999,9.5,32.3,41.8,26.6,6.7,5.0,12.9,20.5,0.568,0.537,168.4,22.1,72.1,47.7,63.5,11.9,6.9,7.2,1.2,69.8,111.9,106.2,5.7,7940.6,95.5,5.5,1.635,2.1,0.5,0.166,54,28,0.659,2006
1,Oklahoma City,82,48.4,102.6,37.5,81.8,0.45899999999999996,7.4,19.9,0.371,20.1,25.7,0.785,12.4,27.2,39.6,20.7,7.6,3.7,14.2,23.6,0.551,0.504,161.5,30.4,69.0,49.4,55.1,13.2,8.3,5.9,1.3,58.2,111.7,115.0,-3.3,7532.4,91.2,-3.0,1.551,1.5,0.5,0.24600000000000002,35,47,0.42700000000000005,2006
2,Washington,82,48.4,101.7,36.3,81.2,0.447,6.1,17.0,0.35700000000000004,23.0,30.4,0.757,12.6,28.6,41.2,18.6,8.0,4.1,13.6,22.6,0.5379999999999999,0.484,156.0,29.5,70.9,49.5,51.2,12.6,8.7,6.6,1.3,57.3,109.8,107.8,2.0,7592.8,91.9,1.9,1.5119999999999998,1.4,0.6,0.284,42,40,0.512,2006
3,Toronto,82,48.7,101.1,36.7,81.0,0.45399999999999996,7.4,19.8,0.375,20.2,25.5,0.7909999999999999,10.5,27.9,38.5,19.4,6.5,3.3,12.7,24.0,0.5479999999999999,0.5,162.0,25.4,73.3,48.3,52.9,12.1,7.0,5.3,1.2,54.9,109.9,113.2,-3.3,7537.9,90.7,-3.0,1.5290000000000001,1.5,0.5,0.249,27,55,0.32899999999999996,2006
4,Denver,82,48.6,100.3,37.5,81.4,0.461,4.3,13.1,0.325,21.0,28.2,0.7440000000000001,11.0,30.3,41.3,23.4,8.5,5.6,14.5,22.7,0.535,0.488,153.1,26.8,72.0,49.7,62.4,13.4,9.0,8.8,1.2,61.0,105.9,105.7,0.2,7768.9,93.6,0.2,1.624,1.6,0.6,0.258,44,38,0.537,2006
5,Miami,82,48.2,99.9,37.1,77.5,0.478,6.1,17.6,0.345,19.7,28.2,0.7,10.5,32.6,43.1,20.6,6.4,5.4,14.0,22.8,0.556,0.517,152.3,26.7,76.4,52.6,55.7,13.5,6.9,8.5,1.3,60.7,109.2,105.0,4.2,7497.7,91.1,3.9,1.557,1.5,0.5,0.254,52,30,0.634,2006
6,L.A. Lakers,82,48.4,99.4,36.5,80.6,0.45299999999999996,6.7,19.3,0.349,19.7,26.5,0.745,11.8,30.3,42.2,21.1,7.7,4.3,13.5,23.1,0.539,0.495,154.6,28.8,73.6,51.2,58.0,12.8,8.4,6.7,1.2,59.2,108.9,106.2,2.7,7484.2,90.5,2.5,1.58,1.6,0.6,0.245,45,37,0.5489999999999999,2006
7,Philadelphia,82,48.5,99.4,36.6,79.8,0.45799999999999996,4.6,12.6,0.364,21.6,28.4,0.76,10.6,29.6,40.2,20.2,7.9,4.9,13.8,20.9,0.5379999999999999,0.48700000000000004,158.2,25.6,71.3,48.5,55.1,13.0,8.5,7.7,1.2,58.0,106.5,108.6,-2.1,7649.3,92.2,-2.0,1.551,1.5,0.6,0.27,38,44,0.46299999999999997,2006
8,Dallas,82,48.5,99.1,36.0,77.7,0.462,5.1,13.6,0.374,22.2,28.3,0.7829999999999999,12.6,29.6,42.2,18.0,7.2,6.0,13.1,22.4,0.55,0.495,161.9,31.8,72.2,52.4,50.0,12.7,8.2,9.4,1.3,59.3,112.4,105.5,6.9,7234.7,87.3,6.1,1.5,1.4,0.6,0.285,60,22,0.732,2006
9,Sacramento,82,48.4,98.9,36.0,79.3,0.45399999999999996,6.0,17.2,0.35100000000000003,20.8,26.5,0.784,10.4,30.2,40.5,22.3,7.4,3.6,14.2,20.4,0.544,0.49200000000000005,158.9,25.4,72.2,49.0,61.8,13.5,8.0,5.5,1.2,59.1,107.1,105.4,1.7,7571.4,91.6,1.5,1.618,1.6,0.5,0.262,44,38,0.537,2006
10,Golden State,82,48.4,98.5,35.8,82.7,0.433,7.6,22.3,0.341,19.2,26.7,0.718,12.0,30.3,42.3,20.7,7.4,4.4,13.8,23.7,0.521,0.479,149.3,26.9,71.6,48.7,57.6,12.7,7.9,6.7,1.2,56.1,105.2,106.6,-1.4,7679.4,92.9,-1.4,1.5759999999999998,1.5,0.5,0.23199999999999998,34,48,0.415,2006
11,Boston,82,48.5,98.0,36.0,77.1,0.467,5.7,15.7,0.36200000000000004,20.3,26.9,0.755,9.9,29.7,39.6,20.9,7.0,5.1,16.2,24.8,0.551,0.504,158.4,25.5,72.8,49.7,58.1,15.4,7.6,8.1,1.3,55.1,105.8,107.4,-1.7,7595.9,91.7,-1.5,1.581,1.3,0.4,0.263,33,49,0.402,2006
12,Milwaukee,82,48.4,97.8,36.3,80.1,0.45299999999999996,6.2,16.3,0.38,19.0,25.8,0.738,11.3,29.9,41.2,21.6,7.3,3.3,14.2,23.2,0.535,0.49200000000000005,157.1,27.3,74.6,50.5,59.4,13.5,7.9,5.4,1.2,56.3,106.6,107.7,-1.1,7524.8,91.0,-1.0,1.594,1.5,0.5,0.23800000000000002,40,42,0.488,2006
